queue_rank,action_rank,tie_review_rank,needs_variant_review,missing_requirement_count,queue_priority_reason,job_doc_id,job_company,job_title,action,action_rationale,winner_resume,winner_score,winner_bucket,is_tie,tie_epsilon,runner_up_resume,runner_up_score,score_gap,passed_prefilter,filtered_out,winner_top_dims,winner_missing_requirements,winner_matched_terms,recommendation_summary
1,1,0,True,0,"Strong apply candidate, but tied resume variants need manual selection.",https://www.weareroku.com/jobs/7532683?gh_jid=7532683,roku,Senior Data Scientist,APPLY_REVIEW_VARIANTS,Strong deterministic match (0.757) but top variants are effectively tied (gap 0.000); review the tied resume options before applying.,Sriram_Neelakantan_Applied_Scientist.pdf,0.757091,strong,True,0.010000,Sriram_Neelakantan_Data_Scientist.pdf,0.757091,0.000000,14,0,"title_alignment=0.90/0.187, required_skills_alignment=0.50/0.128, analytics_ml_depth=1.00/0.116, experimentation_depth=1.00/0.093, tooling_alignment=1.00/0.093",,Data Scientist II | data science | python | sql,"Tie: Sriram_Neelakantan_Applied_Scientist.pdf and Sriram_Neelakantan_Data_Scientist.pdf are effectively equivalent for roku | Senior Data Scientist. Why: score gap is only 0.000, which is within the tie threshold of 0.010. Top-ranked variant by deterministic ordering: Sriram_Neelakantan_Applied_Scientist.pdf Equivalent backup variant: Sriram_Neelakantan_Data_Scientist.pdf Strongest matched terms: Data Scientist II, data science, python, sql Main remaining gaps: none explicitly identified."
2,1,0,True,0,"Strong apply candidate, but tied resume variants need manual selection.",https://www.pinterestcareers.com/jobs/?gh_jid=7642251,pinterest,"Sr. Data Scientist, tvScientific",APPLY_REVIEW_VARIANTS,Strong deterministic match (0.685) but top variants are effectively tied (gap 0.000); review the tied resume options before applying.,Sriram_Neelakantan_Analytics_Data_Scientist.pdf,0.684882,solid,True,0.010000,Sriram_Neelakantan_General_Data_Scientist.pdf,0.684882,0.000000,6,8,"required_skills_alignment=1.00/0.256, title_alignment=0.72/0.150, tooling_alignment=1.00/0.093, analytics_ml_depth=0.60/0.070, domain_relevance=0.50/0.047",,Data Scientist II | machine learning | python | statistics,"Tie: Sriram_Neelakantan_Analytics_Data_Scientist.pdf and Sriram_Neelakantan_General_Data_Scientist.pdf are effectively equivalent for pinterest | Sr. Data Scientist, tvScientific. Why: score gap is only 0.000, which is within the tie threshold of 0.010. Top-ranked variant by deterministic ordering: Sriram_Neelakantan_Analytics_Data_Scientist.pdf Equivalent backup variant: Sriram_Neelakantan_General_Data_Scientist.pdf Strongest matched terms: Data Scientist II, machine learning, python, statistics Main remaining gaps: none explicitly identified."
3,1,0,True,1,"Strong apply candidate, but tied resume variants need manual selection.",https://boards.greenhouse.io/andurilindustries/jobs/5035818007?gh_jid=5035818007,andurilindustries,"Senior Machine Learning Engineer, Image Processing",APPLY_REVIEW_VARIANTS,Strong deterministic match (0.668) but top variants are effectively tied (gap 0.013); review the tied resume options before applying.,Neelakantan_SriramHariharan_Resume_MLE_v3.pdf,0.668370,solid,True,0.010000,Sriram_Neelakantan_AI1.pdf,0.655812,0.012558,5,9,"required_skills_alignment=0.80/0.205, title_alignment=0.66/0.138, analytics_ml_depth=1.00/0.116, tooling_alignment=1.00/0.093, domain_relevance=0.50/0.047",image processing,machine learning engineer | deep learning | machine learning | python | pytorch,"Tie: Neelakantan_SriramHariharan_Resume_MLE_v3.pdf and Sriram_Neelakantan_AI1.pdf are effectively equivalent for andurilindustries | Senior Machine Learning Engineer, Image Processing. Why: score gap is only 0.013, which is above the base tie threshold of 0.010 but still qualifies as an effective tie because only title alignment separates the variants. Top-ranked variant by deterministic ordering: Neelakantan_SriramHariharan_Resume_MLE_v3.pdf Equivalent backup variant: Sriram_Neelakantan_AI1.pdf Strongest matched terms: machine learning engineer, deep learning, machine learning, python, pytorch Main remaining gaps: image processing"
4,2,1,True,3,Tailor candidate with tied resume variants; variant choice should be reviewed.,https://stripe.com/jobs/search?gh_jid=7216668,stripe,"PhD Machine Learning Engineer, New Grad",MAYBE_TAILOR,Good deterministic match (0.608) but not decisive enough for a straight apply; tailor around the missing requirements (3).,Neelakantan_SriramHariharan_Resume_MLE_v3.pdf,0.607557,solid,True,0.010000,Sriram_Neelakantan_AI1.pdf,0.597092,0.010465,14,0,"required_skills_alignment=0.62/0.160, title_alignment=0.58/0.122, analytics_ml_depth=1.00/0.116, tooling_alignment=1.00/0.093, domain_relevance=0.50/0.047",github repositories | scala | stackoverflow contributions,machine learning engineer | numpy | pandas | python | scikit-learn | spark,"Tie: Neelakantan_SriramHariharan_Resume_MLE_v3.pdf and Sriram_Neelakantan_AI1.pdf are effectively equivalent for stripe | PhD Machine Learning Engineer, New Grad. Why: score gap is only 0.010, which is above the base tie threshold of 0.010 but still qualifies as an effective tie because only title alignment separates the variants. Top-ranked variant by deterministic ordering: Neelakantan_SriramHariharan_Resume_MLE_v3.pdf Equivalent backup variant: Sriram_Neelakantan_AI1.pdf Strongest matched terms: machine learning engineer, numpy, pandas, python, scikit-learn, spark Main remaining gaps: github repositories, scala, stackoverflow contributions"
5,2,1,True,6,Tailor candidate with tied resume variants; variant choice should be reviewed.,https://job-boards.greenhouse.io/lucidmotors/jobs/4963850007,lucidmotors,"Sr. Machine Learning Engineer, Autonomous Driving & Parking",MAYBE_TAILOR,Borderline score (0.553) but the job was selective across resume variants (pass rate 21.43%); worth reviewing manually.,Sriram_Neelakantan_AI1.pdf,0.553487,moderate,True,0.010000,Sriram_Neelakantan_AI2.pdf,0.553487,0.000000,3,11,"analytics_ml_depth=1.00/0.116, required_skills_alignment=0.45/0.116, title_alignment=0.53/0.112, tooling_alignment=1.00/0.093, domain_relevance=0.50/0.047",dl architectures | evaluation pipelines | large-scale architecture | reliable production systems | state-of-the-art machine learning techniques | transformers,deep learning | machine learning | python | pytorch | tensorflow,"Tie: Sriram_Neelakantan_AI1.pdf and Sriram_Neelakantan_AI2.pdf are effectively equivalent for lucidmotors | Sr. Machine Learning Engineer, Autonomous Driving & Parking. Why: score gap is only 0.000, which is within the tie threshold of 0.010. Top-ranked variant by deterministic ordering: Sriram_Neelakantan_AI1.pdf Equivalent backup variant: Sriram_Neelakantan_AI2.pdf Strongest matched terms: deep learning, machine learning, python, pytorch, tensorflow Main remaining gaps: dl architectures, evaluation pipelines, large-scale architecture, reliable production systems, state-of-the-art machine learning techniques, transformers"
6,2,2,False,3,Tailor before applying.,https://www.pinterestcareers.com/jobs/?gh_jid=6483005,pinterest,"Data Scientist II, Growth Marketing",MAYBE_TAILOR,Good deterministic match (0.634) but not decisive enough for a straight apply; tailor around the missing requirements (3).,Sriram_Neelakantan_AI2.pdf,0.634217,solid,False,0.010000,Sriram_Neelakantan_Analytics_Data_Scientist.pdf,0.600968,0.033249,14,0,"required_skills_alignment=0.67/0.171, title_alignment=0.59/0.123, tooling_alignment=1.00/0.093, analytics_ml_depth=0.60/0.070, experimentation_depth=0.67/0.062",etl | hive | statistics,Sr. Data Scientist | causal inference | experimentation | machine learning | python | r | sql,"Use: Sriram_Neelakantan_AI2.pdf Why: highest deterministic match score (0.634) for pinterest | Data Scientist II, Growth Marketing. Best backup: Sriram_Neelakantan_Analytics_Data_Scientist.pdf (score 0.601, gap 0.033). Strongest matched terms: Sr. Data Scientist, causal inference, experimentation, machine learning, python, r Main remaining gaps: etl, hive, statistics"
7,2,2,False,0,Tailor before applying.,https://job-boards.greenhouse.io/doordashusa/jobs/7450028,doordashusa,"Analytics Engineer, GTM Data Infrastructure",MAYBE_TAILOR,Good deterministic match (0.631) but not decisive enough for a straight apply; tailor around the missing requirements (0).,Sriram_Hariharan_Data_Engineer.pdf,0.630696,solid,False,0.010000,,,,1,13,"required_skills_alignment=1.00/0.256, analytics_ml_depth=1.00/0.116, title_alignment=0.35/0.073, tooling_alignment=0.75/0.070, domain_relevance=0.50/0.047",,airflow | python | sql,"Use: Sriram_Hariharan_Data_Engineer.pdf Why: highest deterministic match score (0.631) for doordashusa | Analytics Engineer, GTM Data Infrastructure. Strongest matched terms: airflow, python, sql Main remaining gaps: none explicitly identified."
8,2,2,False,2,Tailor before applying.,https://stripe.com/jobs/search?gh_jid=7079044,stripe,"Machine Learning Engineer, Payments ML Accelerator",MAYBE_TAILOR,Good deterministic match (0.605) but not decisive enough for a straight apply; tailor around the missing requirements (2).,Sriram_Neelakantan_AI2.pdf,0.604650,solid,False,0.010000,Neelakantan_SriramHariharan_Resume_MLE_v3.pdf,0.524185,0.080465,3,11,"required_skills_alignment=0.60/0.153, title_alignment=0.60/0.126, analytics_ml_depth=1.00/0.116, experimentation_depth=1.00/0.093, tooling_alignment=1.00/0.093",llm/foundation models | scala,deep learning | python | spark,"Use: Sriram_Neelakantan_AI2.pdf Why: highest deterministic match score (0.605) for stripe | Machine Learning Engineer, Payments ML Accelerator. Best backup: Neelakantan_SriramHariharan_Resume_MLE_v3.pdf (score 0.524, gap 0.080). Strongest matched terms: deep learning, python, spark Main remaining gaps: llm/foundation models, scala"
9,2,2,False,0,Tailor before applying.,https://www.weareroku.com/jobs/7526070?gh_jid=7526070,roku,Data Scientist,MAYBE_TAILOR,Good deterministic match (0.603) but not decisive enough for a straight apply; tailor around the missing requirements (0).,Sriram_Neelakantan_AI2.pdf,0.602971,solid,False,0.010000,,,,1,13,"title_alignment=0.86/0.181, required_skills_alignment=0.50/0.128, preferred_skills_alignment=1.00/0.093, analytics_ml_depth=0.50/0.058, domain_relevance=0.50/0.047",,Sr. Data Scientist | causal inference | experimentation,"Use: Sriram_Neelakantan_AI2.pdf Why: highest deterministic match score (0.603) for roku | Data Scientist. Strongest matched terms: Sr. Data Scientist, causal inference, experimentation Main remaining gaps: none explicitly identified."
10,3,2,False,8,Low-priority hold.,https://boards.greenhouse.io/andurilindustries/jobs/5027763007?gh_jid=5027763007,andurilindustries,"Data Analyst, Corporate Operations",SKIP_FOR_NOW,Winner score is too weak (0.576) for a confident application recommendation.,Sriram_Neelakantan_Product_Data_Scientist.pdf,0.576321,moderate,False,0.010000,Sriram_Neelakantan_Data_Analyst.pdf,0.545769,0.030552,14,0,"required_skills_alignment=0.53/0.135, title_alignment=0.62/0.131, tooling_alignment=1.00/0.093, analytics_ml_depth=0.47/0.054, domain_relevance=0.50/0.047",data engineering | engineering | math | palantir foundry | root-cause investigations | scenario modeling | trend analysis | variance analysis,Data Analyst | analytics | forecasting | looker | power bi | python | r | sql | statistics | tableau,"Use: Sriram_Neelakantan_Product_Data_Scientist.pdf Why: highest deterministic match score (0.576) for andurilindustries | Data Analyst, Corporate Operations. Best backup: Sriram_Neelakantan_Data_Analyst.pdf (score 0.546, gap 0.031). Strongest matched terms: Data Analyst, analytics, forecasting, looker, power bi, python Main remaining gaps: data engineering, engineering, math, palantir foundry, root-cause investigations, scenario modeling"
11,3,2,False,11,Low-priority hold.,https://job-boards.greenhouse.io/doordashusa/jobs/6103225,doordashusa,Data Scientist / Senior Data Scientist,SKIP_FOR_NOW,Winner score is too weak (0.546) for a confident application recommendation.,Sriram_Neelakantan_Applied_Scientist.pdf,0.546487,moderate,True,0.010000,Sriram_Neelakantan_Data_Scientist.pdf,0.546487,0.000000,13,1,"title_alignment=0.72/0.150, experimentation_depth=1.00/0.093, required_skills_alignment=0.35/0.090, tooling_alignment=0.67/0.062, analytics_ml_depth=0.50/0.058",chartio | cohort analyses | etl | funnel optimization | looker | matlab | regression models | sas | scripting | time series analyses | user segmentation,Data Scientist II | a/b testing | hypothesis testing | python | r | sql | tableau | experimentation,"Tie: Sriram_Neelakantan_Applied_Scientist.pdf and Sriram_Neelakantan_Data_Scientist.pdf are effectively equivalent for doordashusa | Data Scientist / Senior Data Scientist. Why: score gap is only 0.000, which is within the tie threshold of 0.010. Top-ranked variant by deterministic ordering: Sriram_Neelakantan_Applied_Scientist.pdf Equivalent backup variant: Sriram_Neelakantan_Data_Scientist.pdf Strongest matched terms: Data Scientist II, a/b testing, hypothesis testing, python, r, sql Main remaining gaps: chartio, cohort analyses, etl, funnel optimization, looker, matlab"
12,3,2,False,5,Low-priority hold.,https://job-boards.greenhouse.io/gusto/jobs/7679230,gusto,"Senior Analytics Engineer, Customer Experience",SKIP_FOR_NOW,Winner score is too weak (0.522) for a confident application recommendation.,Sriram_Neelakantan_Data_Scientist_Analytics.pdf,0.522440,moderate,True,0.010000,Sriram_Neelakantan_AI1.pdf,0.515114,0.007326,14,0,"analytics_ml_depth=1.00/0.116, required_skills_alignment=0.38/0.096, tooling_alignment=1.00/0.093, title_alignment=0.26/0.054, domain_relevance=0.50/0.047",api integrations | automated dashboards | capacity planning | elt pipelines | reports,forecasting | python | sql,"Tie: Sriram_Neelakantan_Data_Scientist_Analytics.pdf and Sriram_Neelakantan_AI1.pdf are effectively equivalent for gusto | Senior Analytics Engineer, Customer Experience. Why: score gap is only 0.007, which is within the tie threshold of 0.010. Top-ranked variant by deterministic ordering: Sriram_Neelakantan_Data_Scientist_Analytics.pdf Equivalent backup variant: Sriram_Neelakantan_AI1.pdf Strongest matched terms: forecasting, python, sql Main remaining gaps: api integrations, automated dashboards, capacity planning, elt pipelines, reports"
13,3,2,False,7,Low-priority hold.,https://boards.greenhouse.io/andurilindustries/jobs/4743827007?gh_jid=4743827007,andurilindustries,Senior Analytics Engineer,SKIP_FOR_NOW,Winner score is too weak (0.488) for a confident application recommendation.,Sriram_Neelakantan_Product_Data_Scientist.pdf,0.488369,moderate,False,0.010000,,,,1,13,"analytics_ml_depth=1.00/0.116, required_skills_alignment=0.36/0.093, tooling_alignment=0.80/0.074, domain_relevance=0.50/0.047, experimentation_depth=0.50/0.047",apache iceberg | athena | dbt | flyte | palantir foundry | redshift | sqlmesh,looker | python | sql | tableau,"Use: Sriram_Neelakantan_Product_Data_Scientist.pdf Why: highest deterministic match score (0.488) for andurilindustries | Senior Analytics Engineer. Strongest matched terms: looker, python, sql, tableau Main remaining gaps: apache iceberg, athena, dbt, flyte, palantir foundry, redshift"
14,3,2,False,8,Low-priority hold.,https://job-boards.greenhouse.io/doordashusa/jobs/7028089,doordashusa,Analytics Engineer,SKIP_FOR_NOW,Winner score is too weak (0.475) for a confident application recommendation.,Sriram_Neelakantan_Applied_Scientist.pdf,0.474860,moderate,True,0.010000,Sriram_Neelakantan_Data_Analyst.pdf,0.474860,0.000000,13,1,"analytics_ml_depth=1.00/0.116, experimentation_depth=1.00/0.093, required_skills_alignment=0.33/0.085, tooling_alignment=0.57/0.053, domain_relevance=0.50/0.047",great expectations | hive | looker | pydeequ | s3 | scala | sigma | trino,python | spark | sql | tableau | a/b testing,"Tie: Sriram_Neelakantan_Applied_Scientist.pdf and Sriram_Neelakantan_Data_Analyst.pdf are effectively equivalent for doordashusa | Analytics Engineer. Why: score gap is only 0.000, which is within the tie threshold of 0.010. Top-ranked variant by deterministic ordering: Sriram_Neelakantan_Applied_Scientist.pdf Equivalent backup variant: Sriram_Neelakantan_Data_Analyst.pdf Strongest matched terms: python, spark, sql, tableau, a/b testing Main remaining gaps: great expectations, hive, looker, pydeequ, s3, scala"
15,3,2,False,2,Low-priority hold.,https://cleerlyhealth.com/careers-board?gh_jid=5789202004,cleerlyhealth,Sr. Marketing Data Analyst,SKIP_FOR_NOW,Winner score is too weak (0.417) for a confident application recommendation.,Sriram_Neelakantan_Product_Data_Scientist.pdf,0.416610,weak,False,0.010000,Sriram_Neelakantan_Data_Analyst.pdf,0.389699,0.026911,14,0,"title_alignment=0.75/0.157, tooling_alignment=1.00/0.093, domain_relevance=0.50/0.047, experimentation_depth=0.50/0.047, preferred_skills_alignment=0.29/0.027",crm | data transformation,Data Analyst | looker | python | r | sql,"Use: Sriram_Neelakantan_Product_Data_Scientist.pdf Why: highest deterministic match score (0.417) for cleerlyhealth | Sr. Marketing Data Analyst. Best backup: Sriram_Neelakantan_Data_Analyst.pdf (score 0.390, gap 0.027). Strongest matched terms: Data Analyst, looker, python, r, sql Main remaining gaps: crm, data transformation"
16,3,2,False,17,Low-priority hold.,https://job-boards.greenhouse.io/doubleverify/jobs/8060829002,doubleverify,Sr. Data Scientist I - Rockerbox,SKIP_FOR_NOW,Winner score is too weak (0.387) for a confident application recommendation.,Sriram_Neelakantan_AI2.pdf,0.386981,weak,True,0.010000,Sriram_Neelakantan_AI1.pdf,0.382699,0.004282,2,12,"title_alignment=0.51/0.106, tooling_alignment=1.00/0.093, required_skills_alignment=0.19/0.049, domain_relevance=0.50/0.047, experimentation_depth=0.50/0.047",aws cloud technologies | bayesian techniques | budget optimization | campaign allocation | data wrangling | experimental design | marketing analytics concepts | matplotlib | measurement | numpyro | probabilistic programming libraries | pymc | scientific python stack | stan | statistical modeling | statistical testing | statsmodels,causal inference | numpy | pandas | sql,"Tie: Sriram_Neelakantan_AI2.pdf and Sriram_Neelakantan_AI1.pdf are effectively equivalent for doubleverify | Sr. Data Scientist I - Rockerbox. Why: score gap is only 0.004, which is within the tie threshold of 0.010. Top-ranked variant by deterministic ordering: Sriram_Neelakantan_AI2.pdf Equivalent backup variant: Sriram_Neelakantan_AI1.pdf Strongest matched terms: causal inference, numpy, pandas, sql Main remaining gaps: aws cloud technologies, bayesian techniques, budget optimization, campaign allocation, data wrangling, experimental design"
17,3,2,False,17,Low-priority hold.,https://consensys.io/open-roles/7335661?gh_jid=7335661,consensys,Senior Analytics Engineer,SKIP_FOR_NOW,Winner score is too weak (0.358) for a confident application recommendation.,Sriram_Neelakantan_AI1.pdf,0.358138,weak,True,0.010000,Sriram_Neelakantan_AI2.pdf,0.358138,0.000000,11,3,"required_skills_alignment=0.23/0.058, tooling_alignment=0.62/0.058, title_alignment=0.27/0.056, domain_relevance=0.50/0.047, experimentation_depth=0.50/0.047",ci/cd | data governance | data modeling | datahub | dbt | dimensional modeling | documentation | github actions | great expectations | lineage | looker | redshift | snowflake | snowflake schema | star schema | superset | version control,bigquery | power bi | python | sql | tableau,"Tie: Sriram_Neelakantan_AI1.pdf and Sriram_Neelakantan_AI2.pdf are effectively equivalent for consensys | Senior Analytics Engineer. Why: score gap is only 0.000, which is within the tie threshold of 0.010. Top-ranked variant by deterministic ordering: Sriram_Neelakantan_AI1.pdf Equivalent backup variant: Sriram_Neelakantan_AI2.pdf Strongest matched terms: bigquery, power bi, python, sql, tableau Main remaining gaps: ci/cd, data governance, data modeling, datahub, dbt, dimensional modeling"
